time,seconds_elapsed,z,y,x
1729114987950340400,0.02834033203125,9.80525016784668,-0.07768987119197845,-0.14637430012226105
1729114987987895800,0.065895751953125,9.805180549621582,-0.05565624311566353,-0.1603865772485733
1729114988025830400,0.103830322265625,9.80514907836914,-0.06436768174171448,-0.15902186930179596
1729114988063764700,0.1417646484375,9.805078506469727,-0.0679301768541336,-0.16190101206302643
1729114988101699300,0.17969921875,9.8050537109375,-0.07618378847837448,-0.15971922874450684
1729114988139634000,0.217634033203125,9.80502700805664,-0.07833556830883026,-0.16027311980724335
1729114988177568500,0.255568603515625,9.805036544799805,-0.07910428941249847,-0.15935777127742767
1729114988215503000,0.293503173828125,9.80505084991455,-0.07789723575115204,-0.15907885134220123
1729114988253437700,0.331437744140625,9.805061340332031,-0.07780201733112335,-0.15847714245319366
1729114988291372300,0.369372314453125,9.805052757263184,-0.07877758145332336,-0.158518984913826
1729114988329306600,0.407306640625,9.80505657196045,-0.08052382618188858,-0.15740670263767242
1729114988367241200,0.4452412109375,9.805045127868652,-0.08093646913766861,-0.15789543092250824
1729114988405175800,0.48317578125,9.8050537109375,-0.08080218732357025,-0.1574336141347885
1729114988443110400,0.5211103515625,9.80504322052002,-0.08185472339391708,-0.1575724184513092
1729114988481045000,0.559044921875,9.805051803588867,-0.08212199062108994,-0.15680190920829773
1729114988518979600,0.5969794921875,9.805049896240234,-0.0815938264131546,-0.1572967767715454
1729114988556914000,0.634913818359375,9.805036544799805,-0.08193055540323257,-0.1578720062971115
1729114988594848500,0.6728486328125,9.805022239685059,-0.0828222781419754,-0.15834206342697144
1729114988632783000,0.710783203125,9.80502700805664,-0.08312251418828964,-0.15785439312458038
1729114988670717700,0.7487177734375,9.805025100708008,-0.08326338231563568,-0.1579659879207611
1729114988708652300,0.78665234375,9.805026054382324,-0.08300624042749405,-0.1579921394586563
1729114988746587000,0.8245869140625,9.805012702941895,-0.08328760415315628,-0.15871332585811615
1729114988784521500,0.862521484375,9.805014610290527,-0.0836716890335083,-0.15832455456256866
1729114988822456000,0.9004560546875,9.805023193359375,-0.08347931504249573,-0.15790651738643646
1729114988860390400,0.938390380859375,9.805008888244629,-0.08333048224449158,-0.15890266001224518
1729114988898325000,0.976324951171875,9.805015563964844,-0.08355004340410233,-0.15835900604724884
1729114988936259600,1.014259521484375,9.80500602722168,-0.083640456199646,-0.1588888317346573
1729114988974194200,1.052194091796875,9.805017471313477,-0.08332237601280212,-0.15837450325489044
1729114989012128800,1.090128662109375,9.805015563964844,-0.08371240645647049,-0.1582750380039215
1729114989050063400,1.1280634765625,9.805017471313477,-0.08429627865552902,-0.1578357219696045
1729114989087998000,1.165998046875,9.80501937866211,-0.08458375185728073,-0.1575871855020523
1729114989125932500,1.2039326171875,9.805024147033691,-0.08406444638967514,-0.15754882991313934
1729114989163867100,1.2418671875,9.80502700805664,-0.08331067860126495,-0.15780043601989746
1729114989201801500,1.279801513671875,9.80502700805664,-0.08316084742546082,-0.15788835287094116
1729114989239736000,1.317736083984375,9.80500602722168,-0.08293729275465012,-0.15923619270324707
1729114989277670700,1.355670654296875,9.805015563964844,-0.08321624249219894,-0.15853604674339294
1729114989315605200,1.393605224609375,9.805004119873047,-0.0840979591012001,-0.1587815284729004
1729114989353539800,1.431539794921875,9.805002212524414,-0.08438950777053833,-0.15872129797935486
1729114989391474400,1.469474365234375,9.805018424987793,-0.0837322250008583,-0.15808765590190887
1729114989429409000,1.507408935546875,9.805007934570312,-0.0841284915804863,-0.158515065908432
1729114989467343400,1.54534326171875,9.80500316619873,-0.08450441062450409,-0.15859194099903107
1729114989505278000,1.58327783203125,9.805002212524414,-0.08451301604509354,-0.15868325531482697
1729114989543212500,1.621212646484375,9.80499267578125,-0.08465606719255447,-0.1591876596212387
1729114989581147100,1.659147216796875,9.804998397827148,-0.08441945910453796,-0.15894757211208344
1729114989619081700,1.697081787109375,9.804981231689453,-0.084292933344841,-0.1600727140903473
1729114989657016300,1.735016357421875,9.804984092712402,-0.08417792618274689,-0.15994185209274292
1729114989694951000,1.772950927734375,9.804986953735352,-0.08407573401927948,-0.15980085730552673
1729114989732885500,1.810885498046875,9.804987907409668,-0.08435136824846268,-0.15962755680084229
1729114989770820000,1.848820068359375,9.804983139038086,-0.0841904953122139,-0.1600317806005478
1729114989808754400,1.88675439453125,9.80497932434082,-0.0840497612953186,-0.16031813621520996
1729114989846689000,1.92468896484375,9.804986000061035,-0.08386191725730896,-0.1599908024072647
1729114989884623600,1.96262353515625,9.8049898147583,-0.08443572372198105,-0.15946553647518158
1729114989922558200,2.00055810546875,9.804991722106934,-0.08455069363117218,-0.1593303084373474
1729114989960492800,2.038492919921875,9.805004119873047,-0.08426938205957413,-0.15867877006530762
1729114989998427400,2.076427490234375,9.805008888244629,-0.08413507789373398,-0.15842989087104797
1729114990036362000,2.114362060546875,9.805031776428223,-0.08325725048780441,-0.15751835703849792
1729114990074296300,2.15229638671875,9.805015563964844,-0.0837002694606781,-0.15826374292373657
1729114990112231000,2.19023095703125,9.805017471313477,-0.08349347114562988,-0.1583547294139862
1729114990150165500,2.22816552734375,9.805008888244629,-0.08401642739772797,-0.15853656828403473
1729114990188100000,2.26610009765625,9.805014610290527,-0.08406554907560349,-0.1581462174654007
1729114990226034700,2.30403466796875,9.805034637451172,-0.08345164358615875,-0.1572500318288803
1729114990263969300,2.34196923828125,9.805034637451172,-0.0833972916007042,-0.15725290775299072
1729114990301904000,2.37990380859375,9.805027961730957,-0.08314208686351776,-0.1577693372964859
1729114990339838500,2.41783837890625,9.805027961730957,-0.0830468237400055,-0.15786845982074738
1729114990377773000,2.45577294921875,9.805045127868652,-0.08278222382068634,-0.15691916644573212
1729114990415707400,2.493707275390625,9.805031776428223,-0.0828528180718422,-0.15775637328624725
1729114990453642000,2.53164208984375,9.80501937866211,-0.08416026830673218,-0.15778622031211853
1729114990491576600,2.56957666015625,9.805012702941895,-0.08429626375436783,-0.1581362783908844
1729114990529511200,2.60751123046875,9.805006980895996,-0.08428490906953812,-0.15846803784370422
