time,seconds_elapsed,z,y,x
1729114709820139300,0.07613916015625,9.614062309265137,-0.021236300468444824,-0.17706887423992157
1729114709858073600,0.114073486328125,10.100104331970215,-0.09541380405426025,-0.14117653667926788
1729114709896008000,0.152008056640625,9.731310844421387,-0.03559323772788048,-0.17706887423992157
1729114709933942300,0.1899423828125,10.008877754211426,-0.08344969153404236,-0.16031911969184875
1729114709971876400,0.22787646484375,9.822237968444824,-0.05952146276831627,-0.17706887423992157
1729114710009810700,0.265810791015625,9.961021423339844,-0.07387840002775192,-0.1746760457754135
1729114710047745000,0.3037451171875,9.846165657043457,-0.05712864175438881,-0.18424734473228455
1729114710085679400,0.341679443359375,9.925128936767578,-0.08344969153404236,-0.19381862878799438
1729114710123613700,0.37961376953125,9.87966537475586,-0.06191428750753403,-0.1746760457754135
1729114710161548000,0.417548095703125,9.917950630187988,-0.05473581701517105,-0.16749759018421173
1729114710199482000,0.455482177734375,9.894022941589355,-0.05712864175438881,-0.17946170270442963
1729114710237416400,0.49341650390625,9.894022941589355,-0.06191428750753403,-0.1746760457754135
1729114710275350800,0.531350830078125,9.891630172729492,-0.06191428750753403,-0.1698904037475586
1729114710313285000,0.56928515625,9.901201248168945,-0.06191428750753403,-0.1818545162677765
1729114710351219200,0.60721923828125,9.891630172729492,-0.06191428750753403,-0.18424734473228455
1729114710389153500,0.645153564453125,9.87966537475586,-0.05234299600124359,-0.1698904037475586
1729114710427088000,0.683087890625,9.898808479309082,-0.06669992953538895,-0.18903298676013947
1729114710465022200,0.721022216796875,9.898808479309082,-0.06669992953538895,-0.15314064919948578
1729114710502956500,0.75895654296875,9.889236450195312,-0.06191428750753403,-0.1818545162677765
1729114710540891000,0.796890869140625,9.891630172729492,-0.05473581701517105,-0.16510476171970367
1729114710578825000,0.834824951171875,9.891630172729492,-0.0810568705201149,-0.1746760457754135
1729114710616759300,0.87275927734375,9.901201248168945,-0.04995017126202583,-0.16271193325519562
1729114710654693600,0.910693603515625,9.898808479309082,-0.0690927505493164,-0.18903298676013947
1729114710692628000,0.9486279296875,9.884450912475586,-0.04755735024809837,-0.16510476171970367
1729114710730562300,0.986562255859375,9.898808479309082,-0.06430710852146149,-0.17706887423992157
1729114710768496400,1.024496337890625,9.882058143615723,-0.06430710852146149,-0.16749759018421173
1729114710806430700,1.0624306640625,9.920343399047852,-0.06669992953538895,-0.1698904037475586
1729114710844365000,1.100364990234375,9.877272605895996,-0.06430710852146149,-0.17706887423992157
1729114710882299400,1.13829931640625,9.903594017028809,-0.07148557901382446,-0.16510476171970367
1729114710920233700,1.176233642578125,9.87966537475586,-0.0690927505493164,-0.17706887423992157
1729114710958168000,1.21416796875,9.908379554748535,-0.06191428750753403,-0.18424734473228455
1729114710996102100,1.25210205078125,9.87966537475586,-0.05952146276831627,-0.1818545162677765
1729114711034036500,1.290036376953125,9.901201248168945,-0.0810568705201149,-0.1866401731967926
1729114711071970800,1.327970703125,9.889236450195312,-0.05473581701517105,-0.17946170270442963
1729114711109905200,1.3659052734375,9.901201248168945,-0.06430710852146149,-0.16749759018421173
1729114711147839500,1.403839599609375,9.889236450195312,-0.06191428750753403,-0.18424734473228455
1729114711185773600,1.441773681640625,9.913165092468262,-0.05952146276831627,-0.1746760457754135
1729114711223708000,1.4797080078125,9.896415710449219,-0.07148557901382446,-0.1866401731967926
1729114711261642200,1.517642333984375,9.891630172729492,-0.07627122104167938,-0.1818545162677765
1729114711299576600,1.55557666015625,9.894022941589355,-0.06669992953538895,-0.18424734473228455
1729114711337511000,1.593510986328125,9.889236450195312,-0.07148557901382446,-0.16749759018421173
1729114711375445200,1.6314453125,9.905986785888672,-0.07148557901382446,-0.1698904037475586
1729114711413379600,1.669379638671875,9.894022941589355,-0.05234299600124359,-0.16510476171970367
1729114711451313700,1.707313720703125,9.898808479309082,-0.06191428750753403,-0.1579262912273407
1729114711489248000,1.745248046875,9.891630172729492,-0.06191428750753403,-0.18903298676013947
1729114711527182300,1.783182373046875,9.884450912475586,-0.07387840002775192,-0.18903298676013947
1729114711565116700,1.82111669921875,9.88684368133545,-0.0690927505493164,-0.1866401731967926
1729114711603050800,1.85905078125,9.896415710449219,-0.06430710852146149,-0.16271193325519562
1729114711640985000,1.896985107421875,9.898808479309082,-0.05952146276831627,-0.18424734473228455
1729114711678919400,1.93491943359375,9.889236450195312,-0.06430710852146149,-0.16749759018421173
1729114711716853800,1.972853759765625,9.896415710449219,-0.05952146276831627,-0.17706887423992157
1729114711754788000,2.0107880859375,9.896415710449219,-0.06669992953538895,-0.1698904037475586
1729114711792722400,2.048722412109375,9.908379554748535,-0.07387840002775192,-0.1818545162677765
1729114711830656800,2.08665673828125,9.87248706817627,-0.06191428750753403,-0.18424734473228455
1729114711868591000,2.124591064453125,9.901201248168945,-0.06669992953538895,-0.16031911969184875
1729114711906525200,2.162525146484375,9.896415710449219,-0.06191428750753403,-0.1698904037475586
1729114711944459500,2.20045947265625,9.882058143615723,-0.05473581701517105,-0.15553347766399384
1729114711982393900,2.238393798828125,9.891630172729492,-0.06430710852146149,-0.18903298676013947
1729114712020328200,2.276328125,9.894022941589355,-0.06430710852146149,-0.16510476171970367
1729114712058262500,2.314262451171875,9.889236450195312,-0.0690927505493164,-0.17946170270442963
1729114712096196900,2.35219677734375,9.891630172729492,-0.06191428750753403,-0.15314064919948578
1729114712134131200,2.390131103515625,9.896415710449219,-0.05234299600124359,-0.16749759018421173
1729114712172065300,2.428065185546875,9.889236450195312,-0.0690927505493164,-0.16749759018421173
1729114712209999600,2.46599951171875,9.884450912475586,-0.06191428750753403,-0.17946170270442963
1729114712247934000,2.503933837890625,9.889236450195312,-0.06191428750753403,-0.17228323221206665
1729114712285868300,2.541868408203125,9.898808479309082,-0.06430710852146149,-0.16031911969184875
1729114712323802600,2.579802734375,9.88684368133545,-0.05952146276831627,-0.17228323221206665
