time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1729114710869134300,1.12513427734375,0.8268951177597046,0.002424434758722782,-0.00847543403506279,0.5622871518135071,0.016744084656238556,0.005521776154637337,-1.947288155555725
1729114710924671700,1.180671630859375,0.8268950581550598,0.002344341715797782,-0.008657609112560749,0.5622846484184265,0.01695534586906433,0.005859065800905228,-1.9472955465316772
1729114710980236000,1.236236083984375,0.8268949389457703,0.002499840222299099,-0.008767107501626015,0.5622825622558594,0.0173113364726305,0.005725004710257053,-1.9472987651824951
1729114711035802000,1.291802001953125,0.8269017338752747,0.00247124582529068,-0.008299040608108044,0.5622798800468445,0.01650502160191536,0.0052458359859883785,-1.9473047256469727
1729114711091348700,1.3473486328125,0.8269035816192627,0.002440809039399028,-0.008319835178554058,0.5622769594192505,0.016505207866430283,0.005319500807672739,-1.9473122358322144
1729114711146910700,1.40291064453125,0.8269070386886597,0.002496168250218034,-0.008496001362800598,0.5622690320014954,0.016858890652656555,0.005425905343145132,-1.9473310708999634
1729114711202464000,1.458464111328125,0.8269070386886597,0.0024436318781226873,-0.008447726257145405,0.5622698664665222,0.016719957813620567,0.005458518397063017,-1.9473295211791992
1729114711258014500,1.514014404296875,0.8269040584564209,0.0025643515400588512,-0.008637559600174427,0.5622708797454834,0.017169687896966934,0.005472378805279732,-1.9473258256912231
1729114711313572000,1.569572021484375,0.8269039392471313,0.002529049990698695,-0.00861611682921648,0.5622715353965759,0.01709451898932457,0.005506659392267466,-1.9473247528076172
1729114711369127400,1.62512744140625,0.826904296875,0.0022542213555425406,-0.00867002084851265,0.5622712969779968,0.016874630004167557,0.006021793000400066,-1.9473291635513306
1729114711424651300,1.6806513671875,0.8269025683403015,0.002314995275810361,-0.008516261354088783,0.5622760653495789,0.016688620671629906,0.0057484605349600315,-1.9473166465759277
1729114711480244700,1.73624462890625,0.8269041776657104,0.0024827648885548115,-0.008677937090396881,0.56227046251297,0.01714472845196724,0.005652708001434803,-1.9473282098770142
1729114711535816400,1.79181640625,0.826906681060791,0.002557458821684122,-0.008703148923814297,0.5622660517692566,0.01727045327425003,0.0055574388243258,-1.9473378658294678
1729114711591395300,1.847395263671875,0.8269038200378418,0.0024198417086154222,-0.00894167646765709,0.5622671842575073,0.017510222271084785,0.006053306628018618,-1.9473378658294678
1729114711646900200,1.902900146484375,0.8269032835960388,0.0022647399455308914,-0.008888487704098225,0.5622694492340088,0.017247818410396576,0.006250048987567425,-1.9473344087600708
1729114711702466300,1.95846630859375,0.8269028663635254,0.0020829446148127317,-0.008837494067847729,0.5622715353965759,0.01695903204381466,0.006493402179330587,-1.9473315477371216
1729114711758007800,2.0140078125,0.8269035220146179,0.0020609810017049313,-0.008707372471690178,0.5622726082801819,0.016719099134206772,0.006383412983268499,-1.947328805923462
1729114711813588000,2.069587890625,0.8269026875495911,0.0022473246790468693,-0.008785134181380272,0.5622720122337341,0.01705726981163025,0.006162672303617001,-1.9473280906677246
1729114711869126000,2.1251259765625,0.8269091248512268,0.0024187967646867037,-0.008676263503730297,0.5622634291648865,0.01707007735967636,0.005756473168730736,-1.9473459720611572
1729114711924636700,2.18063671875,0.826909601688385,0.0023896615020930767,-0.008565643802285194,0.5622646808624268,0.016854342073202133,0.005680280737578869,-1.947343349456787
1729114711980250400,2.23625048828125,0.8269119262695312,0.0024680141359567642,-0.00859520398080349,0.5622605085372925,0.016991369426250458,0.005583855789154768,-1.9473525285720825
1729114712035786500,2.291786376953125,0.826907217502594,0.002425055718049407,-0.008508030325174332,0.5622689723968506,0.016798818483948708,0.005557038821280003,-1.9473323822021484
1729114712091340300,2.34734033203125,0.8269027471542358,0.002404227154329419,-0.00846538133919239,0.5622760057449341,0.016704807057976723,0.005543665960431099,-1.9473150968551636
1729114712146899500,2.4028994140625,0.8268921375274658,0.0023423011880367994,-0.00864514522254467,0.562289297580719,0.016932405531406403,0.005848517641425133,-1.9472845792770386
1729114712202457000,2.45845703125,0.8268947005271912,0.0023480348754674196,-0.008575168438255787,0.5622866153717041,0.01682313345372677,0.0057602813467383385,-1.9472908973693848
1729114712257994500,2.513994384765625,0.8269023299217224,0.0023592589423060417,-0.00845711212605238,0.5622771978378296,0.01664055697619915,0.005608758423477411,-1.9473133087158203
1729114712313536300,2.569536376953125,0.8269003033638,0.0025040532927960157,-0.008641798980534077,0.5622766017913818,0.01710885390639305,0.0055769868195056915,-1.947312831878662
1729114712369101000,2.62510107421875,0.8268955945968628,0.0024230387061834335,-0.008488253690302372,0.5622862577438354,0.016763724386692047,0.005538485012948513,-1.9472904205322266
1729114712424628000,2.6806279296875,0.8268957734107971,0.0022633627522736788,-0.008237773552536964,0.5622904300689697,0.016169846057891846,0.005520940292626619,-1.9472819566726685
