time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1729114576563341800,76.892341796875,0.8287222981452942,0.038622550666332245,0.0161869116127491,0.5580911040306091,0.016336746513843536,-0.08217474073171616,-1.9555727243423462
1729114576618936000,76.94793603515625,0.8291557431221008,0.038238391280174255,0.016388041898608208,0.5574676990509033,0.015509302727878094,-0.08177387714385986,-1.957129716873169
1729114576674449000,77.00344897460937,0.8299908638000488,0.039492227137088776,0.015642328187823296,0.5561572313308716,0.01802489534020424,-0.08305101096630096,-1.9601248502731323
1729114576730063400,77.0590634765625,0.8302109837532043,0.03934786096215248,0.014328168705105782,0.5558743476867676,0.020021678879857063,-0.0813530832529068,-1.9607747793197632
1729114576785550000,77.11455004882812,0.8308011889457703,0.03815041109919548,0.013469352386891842,0.5550969839096069,0.020036570727825165,-0.07842477411031723,-1.9627537727355957
1729114576841160000,77.17015991210937,0.8310761451721191,0.03767287731170654,0.012800764292478561,0.5547336935997009,0.020582279190421104,-0.07689584791660309,-1.963658332824707
1729114576896660500,77.22566040039062,0.8317384123802185,0.03699924796819687,0.013048889115452766,0.5537799596786499,0.019329460337758064,-0.07607316970825195,-1.9660383462905884
1729114576952256800,77.2812568359375,0.8321110606193542,0.0377083420753479,0.013185818679630756,0.553168535232544,0.019834715873003006,-0.07742033898830414,-1.9674376249313354
1729114577007774700,77.33677465820313,0.8324412703514099,0.03933054953813553,0.013883044943213463,0.5525413155555725,0.02041807770729065,-0.08091091364622116,-1.9687907695770264
1729114577063376600,77.39237670898437,0.8326299786567688,0.03929900377988815,0.014620371162891388,0.5522401332855225,0.019123176112771034,-0.0816817656159401,-1.9695470333099365
1729114577118870800,77.44787084960937,0.8328862190246582,0.03963744267821312,0.015644019469618797,0.5518013834953308,0.01774721033871174,-0.08338835090398788,-1.9706037044525146
1729114577174437000,77.50343701171874,0.8332436084747314,0.03818265721201897,0.014652008190751076,0.5513914227485657,0.0177473071962595,-0.07987379282712936,-1.9717140197753906
1729114577229991000,77.55899096679687,0.8328415751457214,0.03790603578090668,0.014307321049273014,0.5520267486572266,0.018076211214065552,-0.07901769876480103,-1.97020423412323
1729114577285584600,77.61458471679687,0.8315774202346802,0.03946817293763161,0.013898779638111591,0.5538303852081299,0.020670976489782333,-0.08112578094005585,-1.9656721353530884
1729114577341099500,77.670099609375,0.8305935859680176,0.03938741981983185,0.012753999792039394,0.5553379058837891,0.022633610293269157,-0.07967972010374069,-1.9620054960250854
1729114577396680700,77.7256806640625,0.8280210494995117,0.03956487029790878,0.010018205270171165,0.5592097043991089,0.02774488367140293,-0.0768011286854744,-1.952537178993225
1729114577452196900,77.78119677734375,0.8259685635566711,0.03893087059259415,0.010212341323494911,0.5622775554656982,0.026990672573447227,-0.07586845010519028,-1.9451904296875
1729114577507792600,77.83679272460938,0.8221467733383179,0.03780272603034973,0.01000380702316761,0.5679311156272888,0.026564503088593483,-0.07358812540769577,-1.9315783977508545
1729114577563315500,77.8923154296875,0.8198991417884827,0.03539395332336426,0.009736260399222374,0.5713300108909607,0.024538975208997726,-0.0692194402217865,-1.9235529899597168
1729114577618890500,77.94789038085938,0.8177758455276489,0.033914823085069656,0.009331685490906239,0.5744609236717224,0.02375735715031624,-0.06623925268650055,-1.9160453081130981
1729114577674413800,78.00341381835938,0.812459409236908,0.03243696689605713,0.008304291404783726,0.5820555686950684,0.024316176772117615,-0.062415070831775665,-1.897521734237671
1729114577730022700,78.05902270507812,0.8060678839683533,0.03278224170207977,0.0085073783993721,0.590853214263916,0.02507621794939041,-0.0629442036151886,-1.875730276107788
1729114577785531000,78.11453076171875,0.8022477030754089,0.033672578632831573,0.010139837861061096,0.5959547758102417,0.023919954895973206,-0.06616152077913284,-1.8629742860794067
1729114577841147100,78.17014721679688,0.7986109852790833,0.03392026200890541,0.010917088948190212,0.6007918119430542,0.023376133292913437,-0.06734687834978104,-1.850867509841919
1729114577896636700,78.22563671875,0.7922993898391724,0.036137551069259644,0.012301092967391014,0.60893714427948,0.024585409089922905,-0.07230769842863083,-1.8301432132720947
1729114577952214500,78.28121459960937,0.7883557677268982,0.035754188895225525,0.013005285523831844,0.6140421628952026,0.02346721664071083,-0.07240888476371765,-1.8172715902328491
1729114578007744300,78.336744140625,0.7826088070869446,0.03622126206755638,0.013227755203843117,0.621318519115448,0.024373235180974007,-0.07319679856300354,-1.7986712455749512
1729114578063368700,78.39236865234375,0.780324399471283,0.036224182695150375,0.012314570136368275,0.6242036819458008,0.026074260473251343,-0.0719689354300499,-1.791259527206421
1729114578118844200,78.44784423828125,0.7767462134361267,0.03689137101173401,0.011791365221142769,0.6286217570304871,0.028140654787421227,-0.07219778746366501,-1.7798025608062744
1729114578174408400,78.50340844726563,0.7754133343696594,0.03779193013906479,0.01041461993008852,0.6302361488342285,0.031570978462696075,-0.07179774343967438,-1.775495171546936
